Last,Address,Address2,Address3,City,State,Zip,Country,Phone,Fax,Email,Account No.,Store,Work,Work Phone,Promo,Contact,Salesperson,Sales Last Year,Sales This Year,First Buy,Last Buy,Bill To Account No.,Tax Status,Tax ID,Alt Tax Rate,Belongs To
Watermark - East Hill Woods,611 East Hill Road,,,Southbury,CT,6488,USA,(203)262-6868,(203)264-6311,SCalame@watermarkcommunities.com,2556,1,,(203)264-6311,CONTR,,Steve Baruch,7465.47,3857.45,1/22/1997,7/19/2021,,,,,Watermark
Watermark - East Village Place,50 Benton Drive,,,East Longmeadow,MA,1028,,(413)525-8150,(413)525-8153,pcastelli@watermarkcommunities.com,48450,2,,,CONTR,Patricia Castelli,Steve Baruch,1290.49,336.15,12/26/2014,4/30/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Fountains At Bronson Place,1700 Bronson Way,,,Kalamazoo,MI,49009,,(269)567-5907,(269)567-5998,Kmmaes@watermarkcommunities.com,46748,2,,,CONTR,AP-Amy Mastromarino,Steve Baruch,3094.56,1310.43,5/13/2014,6/22/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Fountains At Carlotta,41-505 Carlotta Drive,,,Palm Desert,CA,92111,,(760)340-7725,(760)341-7768,AHenn@watermarkcommunities.com,47669,2,,,CONTR,AP- Nancy Hurlbert,Steve Baruch,3840.57,414.2,9/17/2014,4/30/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Fountains At Crystal Lake,965 North Brighton Circle,,,Crystal Lake,IL,60012,,(815)477-6579,(815)455-2142,pmills@watermarkcommunities.com,49317,2,,,,,Steve Baruch,244.98,297.4,8/11/2015,2/26/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Fountains At Franklin,28301 Franklin Road,,,Southfield,MI,48034,,,(248)353-3453,tbennett@watermarkcommunities.com,46516,2,,,CONTR,Tamara Bennett,Steve Baruch,0,0,3/26/2014,3/5/2018,,Exempt,OUT OF STATE,,Watermark
Watermark - Fountains At La Cholla,2001 W. Rudasil Road,,,Tuscon,AZ,85704,USA,(520)797-2001,(520)531-8219,Amsmith@watermarkcommunities.com,46512,2,,,CONTR,,Steve Baruch,4355.26,1733.49,3/26/2014,7/16/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Fountains At Lake Pointe Woo,3260 Lake Pointe Blvd,,,Sarasota,FL,34231,,(941)929-2453,(941)929-2478,LChimento@watermarkcommunities.com,46589,2,,,CONTR,Ann Velasques,Steve Baruch,0,0,4/15/2014,2/10/2018,,Exempt,OUT OF STATE,,Watermark
Watermark - Fountains At Millbrook,79 Flint Road,,,Millbrook,NY,12545,,(845)677-8550,(845)677-8630,SBlack@watermarkcommunities.com,46556,2,,,CONTR,Sharon Black,Steve Baruch,872.68,0,3/28/2014,10/16/2020,,,,NYS Dutchess County,Watermark
Watermark - Fountains At Rivervue,One Rivervue Place,,,Tuckahoe,NY,10707,,(914)768-6002,(914)768-6020,DBrooks@watermarkcommunities.com,46629,2,,,CONTR,AP-Amy Mastromarino,Steve Baruch,1189.6,2930.07,4/11/2014,7/12/2021,,,,NYS Westchester County,Watermark
Watermark - Fountains At Sea Bluffs,25411 Sea Bluffs Drive,,,Dana Point,CA,92629,,(949)234-3000,(949)443-0290,,46901,2,,,CONTR,AP- Amy Mastromarino,Steve Baruch,520.79,0,6/19/2014,7/31/2020,,Exempt,OUT OF STATE,,Watermark
Watermark - Fremont Hills,35490 Mission Road,,,Fremont,CA,94536,,(510)796-4200,,ANavarro@watermarkcommunities.com,60029,2,,,CONTR,,Steve Baruch,1880.01,0,2/10/2018,7/20/2020,,,,CA Alameda County,Watermark
Watermark - Hacienda River,2720 East River Rd,,,Tucson,AZ,85704,,,,SBeth@watermarkcommunities.com,53131,2,,,CONTR,,Steve Baruch,6826.6,633.75,12/20/2016,3/29/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Lakeside Park,468 Perkins St.,,,Oakland,CA,94610,,(510)444-4684,(510)444-4682,STaizan@watermarkcommunities.com,48359,2,,,CONTR,Cheryl Martin - ED,Steve Baruch,1032.7,1720.84,12/2/2014,7/8/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Legacy at Clover Blossom,100 MacAuley Drive,,,Rochester,NY,14610,,(585)218-9000,,,58423,2,,,,,Steve Baruch,0,0,,,,,,NYS Monroe County,Watermark
Watermark - Legacy at Cranberry Landing,300 Cranberry Landing Drive,,,Rochester,NY,14609,,(585)244-3630,,JLLafontain@watermarkcommunities.com,58424,2,,,,,Steve Baruch,2506.86,713.94,1/3/2018,3/29/2021,,,,NYS Monroe County,Watermark
Watermark - Legacy at Erie Station,1545 Erie Station Rd.,,,Henrietta,NY,14467,,(585)334-5006,,JLGeorge@watermarkcommunities.com,58418,2,,,,,Steve Baruch,488.68,240.65,7/11/2018,5/30/2021,,,,NYS Monroe County,Watermark
Watermark - Legacy at Fairways,681 High St.,,,Victor,NY,14564,,(585)924-7043,,LJCement@watermarkcommunities.com,58419,2,,,,,Steve Baruch,2085.5,2874.45,9/19/2017,7/6/2021,,,,NYS Ontario County,Watermark
Watermark - Legacy at Grande‘Vie IL&AL,2140 Five Mile Line Road,,,Penfield,NY,14526,,(585)381-0680,,TTScales@watermarkcommunities.com,58421,2,,,,,Steve Baruch,1074.22,0,11/28/2017,10/16/2020,,,,NYS Monroe County,Watermark
Watermark - Legacy at Maiden Park,749 Maiden Lane,,,Rochester,NY,14615,,(585)546-7275,,WVisca@watermarkcommunities.com,58426,2,,,,,Steve Baruch,1164.95,1025.51,9/14/2017,7/8/2021,,,,NYS Monroe County,Watermark
Watermark - Legacy at Park Crescent,1000 Providence Circle,,,Greece,NY,14616,,(585)865-0680,,MDCole@watermarkcommunities.com,58425,2,,,,,Steve Baruch,2619.42,128.94,3/12/2019,6/30/2021,,,,NYS Monroe County,Watermark
Watermark - Legacy at Parklands,2000 Park Creek Lane,,,Churchville,NY,14428,,(585)889-6590,,,58427,2,,,,,Steve Baruch,0,0,,,,,,NYS Monroe County,Watermark
Watermark - Legacy at Village Wood,100 Village Wood Lane,,,Penfield,NY,14526,,(585)381-4210,,,58422,2,,,,,Steve Baruch,0,0,,,,,,NYS Monroe County,Watermark
Watermark - Legacy at Willow Pond,40 Willow Pond Way,,,Penfield,NY,14526,,(585)388-7663,,NSTobin@watermarkcommunities.com,58420,2,,,,,Steve Baruch,0,0,2/22/2019,3/29/2019,,,,NYS Monroe County,Watermark
Watermark - Napa Valley,,4055 Solano Ave,,Napa,CA,94558,,(707)345-1480,,MLalica@watermarkcommunities.com,69396,2,,,,Mariano Lalica,Steve Baruch,7637.36,1197.68,9/25/2020,7/12/2021,,,,CA Orange County - La Habra,Watermark
Watermark - Pacific Regent of Bellevue,919 109th Avenue NE,,,Bellevue,WA,98004,,(425)646-3955,(425)453-8274,SParcells@watermarkcommunities.com,47191,2,,,CONTR,Denise Hance,Steve Baruch,3459.28,519.98,7/17/2014,7/16/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Parkview in Frisco,7450 Stonebrook Pkwy,,,Frisco,TX,75034,,(972)377-6744,(469)362-2588,jbarnes@watermarkcommunities.com,47667,2,,,CONTR,AP- Amy Mastromarino,Steve Baruch,0,0,9/12/2014,1/27/2018,,Exempt,OUT OF STATE,,Watermark
Watermark - Pinebrook,5877 Wolfpen-Pleasant Hill Rd,,,Milford,OH,45150,,(513)831-5222,(513)965-3400,dcurley@watermarkcommunities.com,47180,2,,,CONTR,AP- Amy Mastromarino,Steve Baruch,749.09,50.85,7/11/2014,2/26/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Preston Of The Park Cities,5917 Sherry Lane,,,Dallas,TX,75225,,(469)904-1394,,kbblazer@watermarkcommunities.com,65970,2,,,,,Steve Baruch,1608.04,433.02,9/11/2019,6/22/2021,,,,TX Dallas County 8.25%,Watermark
Watermark - Providence Of Fairfax,,9490 Sprague Avenue,,Fairfax,VA,22031,,(571)396-0203,,cgyau@watermarkcommunities.com,70855,2,,,CONTR,,Steve Baruch,0,8400.73,3/12/2021,7/27/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Raincross at Riverside,5232 Central Ave.,,,Riverside,CA,92504,,,,CWard@watermarkcommunities.com,65106,2,,,,Cheyienne Ward,Steve Baruch,196.68,549.9,4/15/2019,7/16/2021,,,,CA Riverside CO.- Riverside,Watermark
Watermark - Rochester,749 Maiden Lane,,,Rochester,NY,14615,,(585)546-7275,,MLVercruysse@watermarkcommunities.com,59159,2,,,,,Steve Baruch,0,0,,,,,,NYS Monroe County,Watermark
Watermark - Rockland Place,1519 Rockland Road,,,Wilmington,DE,19803,,(302)777-3099,(302)777-3166,JKintz@watermarkcommunities.com,48768,2,,,,Kim Pepe,Steve Baruch,2470.63,704.41,4/29/2015,5/30/2021,,Exempt,,,Watermark
Watermark - Rose Tree Place,500 Sandy Bank Road,,,Media,PA,19063,,(610)565-1405,(610)565-4930,CEvans@watermarkcommunities.com,46517,2,,,CONTR,Cindy Evans,Steve Baruch,5612.91,503.97,3/27/2014,5/30/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Rosewood Gardens,35 Fenton Street,,,Livermore,CA,94550,,(925)443-7200,(925)443-7212,CEspinoza@watermarkcommunities.com,46857,2,,,CONTR,AP-Amy Mastromarino,Steve Baruch,2978.88,1229.85,6/9/2014,7/27/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - San Ramon,12720 Alcosta Blvd.,,,San Ramon,CA,94583,,,,jpetrarca@watermarkcommunities.com,70020,2,,,,Jill Petrarca,Steve Baruch,5436.86,223.72,11/6/2020,5/30/2021,,,,CA Contra Costa CO.,Watermark
Watermark - Skybridge At Town Center,360 Skybridge Drive,,,Upper Marlboro,MD,20774,,(301)535-8524,,aplsb@watermarkcommunities.com,71863,2,,,,,Steve Baruch,0,283.37,6/22/2021,6/22/2021,,,,MD State - 6.00%,Watermark
Watermark - Southpark Meadows,9320 Alice Mae Lane,,,Austin,TX,78748,,,,lalee@watermarkcommunities.com,67979,2,,,,LEE ANN LEE,Steve Baruch,4659.8,913.45,3/17/2020,6/22/2021,,,,,Watermark
Watermark - Trinity,1960 Blue Fox Way,,,Trinity,FL,34655,,(727)753-7325,,jmarlowe@watermarkcommunities.com,65171,2,,,CONTR,,Steve Baruch,2907.67,-607.32,5/31/2019,2/12/2021,,Exempt,OUT OF STATE,,Watermark
Watermark - Village at Legacy Pointe,1650 Holiday Crest Circle,Attn: Naren Coxe,,Waukee,IA,50263,,,,NCoxe@watermarkcommunities.com,65067,2,,,,,Steve Baruch,0,0,4/8/2019,9/26/2019,,Exempt,OUT OF STATE,,Watermark
Watermark - Vistawilla,1519 East State Road,,,Winter Springs,FL,32708,,,,MBush@watermarkcommunities.com,60807,2,,,,,Steve Baruch,1403.89,0,4/14/2018,8/17/2020,,Exempt,OUT OF STATE,,Watermark
Watermark - Westwood Senior Housing,947 Tiverton Ave,,,Los Angeles,CA,90024,,(310)208-4590,,apwwv@watermarkcommunities.com,53129,2,,,CONTR,Allison Marty,Steve Baruch,0,0,,,,,,CA Los Angeles,Watermark
Watermark - Whittier Place Senior Living,12315 Burgess Ave,,,Whittier,CA,90604,,,,kpadilla@watermarkcommunities.com,66027,2,,,,KENIA PADILLA,Steve Baruch,279.44,1210.2,9/25/2019,7/27/2021,,,,CA Los Angeles,Watermark
Watermark - Windsor Senior Living,7750 Lyndon B Johnson Fwy,,,Dallas,TX,75251,,(972)374-9761,,CTSchumaker@watermarkcommunities.com,58052,2,,,CONTR,Kelly Hatter,Steve Baruch,0,0,12/16/2017,5/28/2019,,Exempt,OUT OF STATE,,Watermark
Watermark at St. Peters,363 Jungermann Rd,,,Saint Peters,MO,63376,,(636)928-3877,(636)794-1299,kwschroeder@watermarkcommunities.com,68659,2,,,,Diane Harms,Steve Baruch,1997.64,789.35,7/31/2020,6/22/2021,,Exempt,OUT OF STATE,,Watermark
Watermark retirement communities,681 High Street,,,Victor,NY,14564,,(585)924-7043,,skimmerly@watermarkcommunities.com,70372,2,,,,Stacey Kimmerly,,0,0,,,,,,,Watermark
Westport Public Schools Custodial,Aquarion Building,1 Canal St.,,Westport,CT,6880,,(203)341-1270,(203)341-1277,lcataudo@westport.k12.ct.us,2599,1,,(203)454-2925,,Linda Cataudo,House Account,98.41,26472.24,1/23/1997,6/10/2021,,Exempt,,,Westport Public Schools
Westport Public Schools Maintenance,Aquarion Building,1 Canal Street,,Westport,CT,6880,,(203)943-9446,,lchajon@westport.k12.ct.us,27851,2,,,,Rolondo Chajon,House Account,93.99,3818.09,4/24/2007,6/25/2021,,Exempt,CITY ENTITY,,Westport Public Schools
Westy,Attn: Susan Horn,80 Brownhouse Road,,Stamford,CT,6902,,(203)961-8000,(914)937-6870,stamford@westy.com,27526,2,,,,Susan,Krista,145.1,0,2/12/2007,1/24/2020,,,,NYS Westchester County,Westy
"Westy New York, Inc",Attn: Susan Horn,351 North Main Street,,Port Chester,NY,10573,,(914)937-2222,(914)937-6870,no email,8537,2,,(203)674-0781,,Susan,Krista,72.55,-13.9,8/22/2000,7/13/2021,,,,NYS Westchester County,Westy
Winpark,2800 Post Oak Blvd,Suite 250,,Houston,TX,77056,,(713)985-3343,,lauren.inocencro@winpark.com,46826,2,,,,Lauren Nelson,Krista,0,0,5/29/2014,12/3/2020,,,,TX Houston - 8.25%,Winpark
Winpark - Bank of America Tower,800 Capitol St,,,Houston,TX,77002,,,,Amy.Zaid@winpark.com,70655,2,,,,Amy Zaid,Steve Baruch,119.13,259.25,12/3/2020,3/1/2021,,,,TX Houston - 8.25%,Winpark
Winstanley Property - Concord,Attn: Kara Stokes,150 Baker Avenue Extension,Suite 303,Concord,MA,1742,,(978)287-8614,(978)287-5050,,25901,2,,,,Kara,Krista,98.24,56,7/17/2006,5/18/2021,,Exempt,MA,,Winstanley Property Management
Winstanley Property - Rocky Hill,ATTN: ROSA SZYKULA,360 BLOOMFIELD AVE,SUITE 307,WINDSOR,CT,6095,,(860)529-1371,,rszykula@winent.com,28517,2,,,,ROSA SZYKULA,Krista,335.58,0,6/6/2007,11/13/2020,,,,,Winstanley Property Management
Winstanley Property Management LLC,300 George Street Suite G-06,,,New Haven,CT,6511,,(203)824-4808,,aalexander@winent.com,65885,2,,,,Angel Alexander,,0,0,,,,,,,Winstanley Property Management
"Winstanley Property Management, LLC",Attn: Accounts Payable (6751),300 George St,,New Haven,CT,6511,,(203)889-3269,(203)624-5326,dbaldwin@winent.com,16955,2,,,,Dale Baldwin,Krista,1414.37,457.96,9/2/2003,7/23/2021,,,,,Winstanley Property Management
Bridgeport Hospital - MFD - BA,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65237,2,,,,,Krista,1076.64,567.33,5/29/2019,5/14/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Engineering,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65242,2,,,,,Krista,1563.78,373.68,7/1/2019,5/11/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - EVS,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65241,2,,,,,Krista,199.67,114.9,9/5/2019,5/25/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Food & Nut,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65246,2,,,,,Krista,48.09,85.5,6/10/2019,1/7/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Home Care Pl,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,(203)415-5151,,Brittney.Caron@ynhh.org,67613,2,,,,Brittney Caron,Krista,1684.19,126.37,2/11/2020,2/16/2021,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital - MFD - Occup Therap,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65243,2,,,,,Krista,177.98,0,5/24/2019,12/15/2020,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - PCT,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65236,2,,,,,Krista,7567.47,2830.68,5/24/2019,7/27/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Pharmacy,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65386,2,,,,,Krista,1057.18,419,6/7/2019,7/26/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Phlebotomy,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,(203)922-2300,,,65238,2,,,,,Krista,982.06,798.15,5/29/2019,6/28/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Physical The,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65245,2,,,,,Krista,443.16,151.15,5/24/2019,7/12/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Purchasing,Attn: Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,,,,68522,2,,,,,Krista,1709.36,416.78,7/31/2020,7/16/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Radiology,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65240,2,,,,,Krista,1177.88,741.32,5/24/2019,7/9/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Respiratory,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65239,2,,,,,Krista,604.63,574.49,6/4/2019,6/21/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - RN,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65235,2,,,,,Krista,5748.54,3575.84,5/24/2019,7/26/2021,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Speech Thera,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,,,,65244,2,,,,,Krista,0,0,7/8/2019,7/19/2019,,Exempt,,,Yale Network
Bridgeport Hospital - MFD - Volunteers,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,USA,,,,65402,2,,,,Elizabeth Locke,Krista,386.89,0,6/11/2019,10/16/2020,,Exempt,,,Yale Network
Bridgeport Hospital Admitting,Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,USA,(203)688-3156,,cynthia.rodar@ynhh.org,22979,2,,,,Cynthia Rodar,Krista,145.14,19.35,8/3/2005,3/10/2021,,Exempt,E-00822,,Yale Network
Bridgeport Hospital BA,Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,,,,46502,2,,,,,Krista,7197.91,5087.47,3/26/2014,7/29/2021,,Exempt,E-00822,,Yale Network
Bridgeport Hospital Engineering,,Attn: Accounts Payable,P.O. Box 55110,Bridgeport,CT,6610,,(203)384-3206,(203)384-2411,Heide.Ruff@bpthosp.org,60813,2,,,,,Krista,4364.96,4700.5,4/16/2018,6/14/2021,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital Foundation,267 Grant Street,,,Bridgeport,CT,6610,,,,,58369,2,,,,,Krista,0,0,8/1/2017,9/9/2019,,Exempt,,,Yale Network
Bridgeport Hospital House Staff,Accounts Payable,P.O. Box  55110,,Bridgeport,CT,6610,,,,corinne.mulvey@bpthosp.org,51646,2,,,,Corinne Mulvey,Krista,4454.8,9479.99,9/2/2016,7/19/2021,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital Internal Medicine,Accounts Payable,PO Box 55110,,Bridgeport,CT,6610,,,,,50943,2,,,,,Krista,13.9,0,6/13/2016,1/28/2020,,Exempt,,,Yale Network
Bridgeport Hospital LPN,Accounts Payable,P.O. Box 5510,,Bridgeport,CT,6610,,(203)384-3431,,peggy.parniawski@bpthosp.org,63394,2,,,,Peg Parniawski,Krista,0,0,,,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital Materials Management,Accounts Payable,P.O. Box  55110,,Bridgeport,CT,6610,,(203)384-3620,,nancy.cioffi@bpthosp.org,51979,2,,,,,Krista,1208.32,2584.27,10/12/2016,7/16/2021,,Exempt,,,Yale Network
Bridgeport Hospital Obstetrics&Gynecolog,Attn: Accounts Payable,PO Box 55110,,Bridgeport,CT,6610,,,,,50942,2,,,,,Krista,11,0,4/26/2016,10/1/2020,,Exempt,,,Yale Network
Bridgeport Hospital Outpaitient Facility,Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,USA,,,,50747,2,,,,,Krista,0,0,3/6/2019,3/6/2019,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital Patient Escort,Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6510,,(203)384-3787,,vesel.haxhillary@bpthosp.org,63231,2,,,,Vesel Haxhillary,Krista,0,42.09,1/24/2019,1/4/2021,,Exempt,,,Yale Network
Bridgeport Hospital Patient Exper. Assoc,Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,(203)622-3156,,fsmajo@bpthosp.org,45136,2,,,,,Krista,1422.5,0,9/30/2013,7/9/2020,,Exempt,E-00822,,Yale Network
Bridgeport Hospital PCT,Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,(203)384-3084,(203)339-6475,eboni.james@bpthosp.org,51139,2,,,,Eboni James,Krista,58804.32,22465.25,6/22/2016,7/29/2021,,Exempt,,,Yale Network
Bridgeport Hospital Pharmacy,Accounts Payable,P.O Box 55110,,Bridgeport,CT,6610,,(203)384-3253,,Mara.Debattista@bpthosp.org,59173,2,,,,Mara Debattista,Krista,8307.05,1687.56,9/15/2017,7/15/2021,,Exempt,,,Yale Network
Bridgeport Hospital Phlebotomy,,267 Grant Street,Attn: Guenther Zvaigzne,Bridgeport,CT,6610,,(203)384-3000,,Guenther.Zvaigzne@bpthosp.org,61349,2,,,,Guenther Zvaigzne,Krista,2230.52,3216.28,7/11/2018,7/19/2021,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital Purchasing,Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,,,lori.bufano@greenwichhospital.org,59459,2,,,,Lori Bufano,Krista,35238.55,26362.89,10/30/2017,7/27/2021,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital Radiation Oncology,Attn: Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,,,,1378,5,,,,,Krista,0,0,,,,Exempt,,,Yale Network
Bridgeport Hospital Respiratory,Accounts Payable,P.O. Box  55110,,Bridgeport,CT,6610,,,,,60236,2,,,,,Krista,2463.14,1073.66,1/12/2018,6/14/2021,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital RN,Attn: Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,(203)384-3431,,peggy.parniawski@bpthosp.org,53134,2,,,,Peg Parniawski,Krista,72601.67,30670.28,11/15/2016,7/29/2021,,Exempt,,,Yale Network
Bridgeport Hospital Security,Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,,,,48277,2,,,,Ivan Miranda,Krista,841.6,528.75,12/31/2014,6/1/2021,,Exempt,E-00822,,Yale Network
Bridgeport Hospital Volunteers,Attn: Accounts Payable,P.O. Box 55110,,Bridgeport,CT,6610,,(203)384-3330,(203)332-4998,karen.domena@bpthosp.org,10085,3,,,,Karen domena,Krista,0,0,10/27/2017,7/1/2019,,Exempt,HOSPITAL,,Yale Network
Bridgeport Hospital-Rehabilitation Servi,Attn: Accounts Payable,Po Box 55110,,Bridgeport,CT,6610,,,,,1149,5,,,,,Krista,2232.43,637.8,6/11/2020,7/13/2021,,Exempt,,,Yale Network
Corporate Professional Business Services,Attn: Maureen Macy,194 Howard Street,3rd Floor,New London,CT,6320,,(860)865-2253,,Maureen.Macy@lmhosp.org,71918,2,,,,,Krista,0,1060.03,6/3/2021,7/12/2021,,Exempt,,,Yale Network
Greenwich Hospital,5 Perryridge Rd.,,,Greenwich,CT,6830,,(203)863-3222,,Susan.Smith@greenwichhospital.org,62798,2,,,,Susan Smith,Krista,0,150.45,11/20/2018,4/6/2021,,Exempt,HOSPITAL,,Yale Network
Greenwich Hospital Admitting,Attn: Joe Campagna,5 Perryridge Road,,Greenwich,CT,06830-4697,,,,,6584,2,,,,,Krista,19.35,40.75,9/13/1999,1/27/2021,,Exempt,E-0933,,Yale Network
Greenwich Hospital Breast Center,5 Perryridge Rd,,,Greenwich,CT,6830,,,,,36773,2,,,,Anna Fata,Krista,545.66,0,10/18/2010,7/13/2020,,Exempt,E-0933,,Yale Network
Greenwich Hospital Diagnostic,5 Perryridge Rd,,,Greenwich,CT,6830,,,,,423,6,,,,,Krista,154.46,75.96,6/12/2020,5/19/2021,,Exempt,,,Yale Network
Greenwich Hospital Environmental,Attn: Anthony Como,5 Perryridge Rd,,Greenwich,CT,06830-4697,,,,,6678,2,,,CONTR,Anthony Genovese,Krista,9035.42,5907.13,8/3/1999,7/16/2021,,Exempt,E-0933,,Yale Network
Greenwich Hospital House Staff,Attn: Cara Giacomo,5 Perryridge Rd,,Greenwich,CT,6830,,(203)863-3911,(203)863-3924,cara.giacomo@greenwichhospital.org,415,6,,,,,Krista,4613.82,0,6/15/2020,7/31/2020,,Exempt,,,Yale Network
Greenwich Hospital Lab Account,Attn: Kathy Mitas,5 Perryridge Road,,Greenwich,CT,6830,,(203)863-3082,,,30476,2,,,,Kathy Mitas,Krista,104.49,0,2/14/2008,9/14/2020,,Exempt,E-0933,,Yale Network
Greenwich Hospital Material Management,5 Perryridge Rd,,,Greenwich,CT,6830,,(203)863-3233,(000)863-3296,,7098,2,,,,Ed Handel,Krista,886.16,0,9/21/1999,11/30/2020,,Exempt,E-0933,,Yale Network
Greenwich Hospital Occupational Health,Attn: Accounts Payable,75 Holly Hill Lane,,Greenwich,CT,06830-4697,,,,,6190,2,,,,,Krista,0,0,9/9/1999,2/22/2021,,Exempt,E-0933,,Yale Network
Greenwich Hospital Pharmacy,5 Perryridge Rd,,,Greenwich,CT,6830,,,,,66956,2,,,,,Krista,1738.32,637.31,11/19/2019,7/12/2021,,Exempt,E-0933,,Yale Network
Greenwich Hospital Purchasing,5 Perryridge Rd,,,Greenwich,CT,06830-4697,,,,,6115,2,,,CONTR,,Krista,22392.61,21280.2,9/10/1999,7/26/2021,,Exempt,E-0933,,Yale Network
Greenwich Hospital- RN,5 Perryridge Rd,Attn: Priscilla Sterne,,Greenwich,CT,06830-4697,,(203)863-3875,,priscilla.sterne@greenwichhospital.org,4973,2,,,CONTR,,Krista,29538.8,14919.93,4/15/1999,7/27/2021,,Exempt,E-0933,,Yale Network
Greenwich Hospital Urology,Attn: James Rosoff,55 Holly Hill Lane,Suite 110,Greenwich,CT,6830,,,,,50956,2,,,,,,408.39,190.93,4/26/2016,7/19/2021,,,,,Yale Network
Greenwich Hospital Volunteer Services,5 Perryridge Rd,,,Greenwich,CT,6830,,(203)863-3222,,Susan.Smith@greenwichhospital.org,62813,2,,,,Susan Smith,Krista,481.1,1192.75,11/26/2018,6/30/2021,,Exempt,,,Yale Network
Greenwich Hospital-CNA,5 Perryridge Rd,Attn: Priscilla Sterne,,Greenwich,CT,6830,,(203)863-3875,,priscilla.sterne@greenwichhospital.org,138,6,,,CONTR,,Krista,9875.57,2449.31,12/13/2019,7/19/2021,,Exempt,E-0933,,Yale Network
Greenwich Hospital-Engineering,Attn: Lori Bufano,5 Perryridge Rd,,Greenwich,CT,6830,,,,,65710,2,,,,,Krista,12901.39,44.95,7/9/2019,4/20/2021,,Exempt,,,Yale Network
Greenwich Hospital-Patient Transport,5 Perryridge Rd,,,Greenwich,CT,6830,,(203)863-3259,,Gerardo.Laureano@greenwichhospital.org,68029,2,,,,Jerry Laureano,Krista,1382.61,348.91,3/30/2020,3/9/2021,,Exempt,HOSPITAL,,Yale Network
